ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12074695,JD260272,06/10/2020 08:30:00 PM,014XX E 69TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,true,false,0332,003,5,43,15,1186835,1859524,2020,06/17/2020 03:57:35 PM,41.769644944,-87.590697188,"(41.769644944, -87.590697188)"
12015771,JD193176,03/22/2020 12:01:00 AM,006XX W GRACE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,BANK,false,false,1925,019,46,6,11,1171140,1925861,2020,03/29/2020 03:45:26 PM,41.952036311,-87.646281883,"(41.952036311, -87.646281883)"
11981932,JD152777,02/15/2020 01:15:00 PM,020XX N KOSTNER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,2522,025,35,20,08B,1146722,1913364,2020,02/22/2020 03:48:08 PM,41.918245482,-87.736363,"(41.918245482, -87.736363)"
11982734,JD152865,02/15/2020 02:27:00 PM,014XX E 71ST PL,0560,ASSAULT,SIMPLE,APARTMENT,false,true,0324,003,8,43,08A,1187138,1857877,2020,02/22/2020 03:48:08 PM,41.765118246,-87.58963874,"(41.765118246, -87.58963874)"
12100199,JD290529,07/07/2020 10:00:00 PM,057XX W 63RD ST,0810,THEFT,OVER $500,RESTAURANT,false,false,0812,008,13,64,06,1139351,1862205,2020,07/14/2020 03:49:25 PM,41.777995351,-87.76468954,"(41.777995351, -87.76468954)"
12002428,JD177007,03/07/2020 07:00:00 AM,077XX S CHAMPLAIN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,true,0624,006,6,69,14,1181906,1853843,2020,03/14/2020 03:49:45 PM,41.754171064,-87.608939869,"(41.754171064, -87.608939869)"
11941540,JD102907,01/03/2020 12:50:00 PM,118XX S EMERALD AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER,false,true,0524,005,34,53,26,1173449,1826390,2020,01/10/2020 03:56:10 PM,41.679027327,-87.640741174,"(41.679027327, -87.640741174)"
11964225,JD130346,01/27/2020 01:32:00 PM,001XX E 51ST ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESTAURANT,false,true,0231,002,3,40,08B,1178132,1871244,2020,02/03/2020 03:48:41 PM,41.802007569,-87.622242931,"(41.802007569, -87.622242931)"
12037522,JD217338,04/26/2020 04:00:00 AM,006XX N LECLAIRE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1532,015,37,25,08B,1142247,1903750,2020,05/03/2020 03:47:20 PM,41.891947885,-87.753043601,"(41.891947885, -87.753043601)"
12020886,JD198687,03/31/2020 03:18:00 AM,003XX N LOTUS AVE,0460,BATTERY,SIMPLE,APARTMENT,false,false,1523,015,37,25,08B,1139890,1901658,2020,04/07/2020 03:50:44 PM,41.886250592,-87.761751124,"(41.886250592, -87.761751124)"
12079544,JD265723,06/06/2020 10:17:00 AM,051XX S WOODLAWN AVE,0810,THEFT,OVER $500,APARTMENT,false,false,0233,002,5,41,06,1185098,1871194,2020,06/19/2020 03:47:42 PM,41.801709383,-87.596697686,"(41.801709383, -87.596697686)"
11971817,JD140007,02/04/2020 03:59:00 PM,084XX S LAFAYETTE AVE,502R,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,STREET,true,false,0622,006,21,44,26,1177406,1849135,2020,02/11/2020 03:50:36 PM,41.74135454,-87.6255727,"(41.74135454, -87.6255727)"
